ID Caso,Año,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
292069,2004,SAN ANDRES DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-78.5193241442 1.3913381123)
292072,2004,ZONA BANANERA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,,0,1,0,0,1,0,0,0,0,,,6,,POINT (-74.140081844 10.7630268185)
292073,2004,VALLE DEL GUAMUEZ,PUTUMAYO,BAJO PUTUMAYO,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,0,,,5,,POINT (-76.9803490163 0.4683982046)
292074,2004,CRAVO NORTE,ARAUCA,LLANOS ORIENTALES,RUTA,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,7,ARMA DE FUEGO,POINT (-70.2042855518 6.3039127525)
292075,2004,RIONEGRO,ANTIOQUIA,ORIENTE ANTIOQUEÑO,DESCONOCIDA,AGENTE DEL ESTADO,,0,0,0,0,0,0,0,0,0,,,4,,POINT (-75.3767693823 6.14722409)
292076,2004,SAN LUIS,ANTIOQUIA,ORIENTE ANTIOQUEÑO,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.993641001 6.042983285)
292083,2004,LERIDA,TOLIMA,NORTE DEL TOLIMA,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-74.910634355 4.8620253462)
292086,2004,SAN RAFAEL,ANTIOQUIA,ORIENTE ANTIOQUEÑO,ASALTO,GRUPO PARAMILITAR,,0,0,0,0,0,1,0,0,0,,,4,ARMA CORTO PUNZANTE,POINT (-75.0279838158 6.2937548758)
292087,2004,FLORENCIA,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,DESCONOCIDA,DESCONOCIDO,,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.6085604324 1.6179229304)
292098,2004,EL TAMBO,CAUCA,NORTE DEL CAUCA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,1,,,4,ARMA DE FUEGO,POINT (-76.8107722487 2.4513713597)
292099,2004,EL TAMBO,CAUCA,NORTE DEL CAUCA,RETENCIÓN/EJECUCIÓN,GRUPO ARMADO NO IDENTIFICADO,,0,0,0,0,0,0,0,0,1,,,4,ARMA DE FUEGO,POINT (-76.8107722487 2.4513713597)
