ID Caso,ID Caso Relacionado,Año,Mes,Día,Código DANE de Municipio,Municipio,Departamento,Región,Modalidad,Presunto Responsable,Descripción Presunto Responsable,Abandono o Despojo Forzado de Tierras,Amenaza o Intimidación,Ataque Contra Misión Médica,Confinamiento o Restricción a la Movilidad,Desplazamiento Forzado,Extorsión,Lesionados Civiles,Pillaje,Tortura,Violencia Basada en Género,Otro Hecho Simultáneo,Total de Víctimas del Caso,Tipo de Armas,latitud-longitud
554662,,1986,6,7,76001,CALI,VALLE DEL CAUCA,SUR DEL VALLE,DESCONOCIDA,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,19,ND,POINT (-76.5215651508 3.4144143046)
554671,,2020,7,18,54810,TIBU,NORTE DE SANTANDER,CATATUMBO,RUTA,GRUPO POSDESMOVILIZACIÓN,LOS RASTROJOS,0,1,0,0,1,0,0,0,0,,,8,ND,POINT (-72.7359186314 8.6395488525)
554693,,2018,1,19,54874,VILLA DEL ROSARIO,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,DESCONOCIDA,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,4,,,4,ND,POINT (-72.4700673416 7.8474874315)
554739,,2004,1,22,76834,TULUA,VALLE DEL CAUCA,CENTRO DEL VALLE,ASALTO,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-76.1976996795 4.0852612385)
554781,,2008,8,16,17433,MANZANARES,CALDAS,EJE CAFETERO,DESCONOCIDA,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,0,,,4,ND,POINT (-75.1528288516 5.2557202534)
555004,CR2017555004,2020,8,21,52835,SAN ANDRES DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,RETENCIÓN/EJECUCIÓN,GUERRILLA,DISIDENCIA FARC,0,0,0,0,0,0,0,0,7,,,6,ARMA DE FUEGO,POINT (-78.4329340715 1.4168939085)
555119,,1995,1,13,5051,ARBOLETES,ANTIOQUIA,URABA,INCURSIÓN,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DE CÓRDOBA Y URABÁ (ACCU),1,0,0,0,1,0,0,0,6,,ESTIGMATIZACIÓN,4,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-76.4270567981 8.8505677343)
555178,,1987,2,0,68397,LA PAZ,SANTANDER,PROVINCIA DE VELEZ,DESCONOCIDA,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,,10,ND,POINT (-73.5895900302 6.1785093258)
555352,,2017,10,5,52835,SAN ANDRES DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,ATAQUE INDISCRIMINADO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,0,0,0,0,0,0,50,0,0,,,6,ARMA DE FUEGO,POINT (-78.5193241442 1.3913381123)
555362,,2017,10,15,52250,EL CHARCO,NARIÑO,ANDEN PACIFICO SUR,ENGAÑO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,,6,ARMA DE FUEGO,POINT (-78.1098489985 2.477550593)
555374,,2017,8,24,19318,GUAPI,CAUCA,ANDEN PACIFICO SUR,ATAQUE INDISCRIMINADO,GUERRILLA,ELN,0,1,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-77.801313217 2.6109207206)
555762,,2017,3,25,27250,EL LITORAL DEL SAN JUAN,CHOCO,VALLE DE SAN JUAN,ATAQUE INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-77.3598378367 4.2567667056)
555790,,2020,9,7,5895,ZARAGOZA,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,ASALTO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-74.9231985612 7.4963179961)
555800,,2020,8,26,5642,SALGAR,ANTIOQUIA,SUROESTE ANTIOQUEÑO,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,3,0,0,,,4,ARMA DE FUEGO,POINT (-76.0062816584 5.9590066769)
55965,,1993,7,28,5088,BELLO,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,,4,ND,POINT (-75.6084047301 6.3405017616)
56759,,1993,6,13,5088,BELLO,ANTIOQUIA,VALLE DE ABURRA,ATAQUE INDISCRIMINADO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,7,0,0,,,4,ARMA DE FUEGO,POINT (-75.554665073 6.3340688364)
576256,,2017,2,12,54001,CUCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,DESCONOCIDA,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,2,0,0,,,4,ND,POINT (-72.5082561962 7.9053062946)
576276,,2017,10,1,5154,CAUCASIA,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,SICARIATO,GRUPO POSDESMOVILIZACIÓN,URABEÑOS/AUTODEFENSAS GAITANISTAS DE COLOMBIA/ÁGUILAS NEGRAS/CLAN ÚSUGA,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-75.1982903265 7.9773623332)
576466,,2020,3,13,52405,LEIVA,NARIÑO,PATIA,RETENCIÓN/EJECUCIÓN,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-77.3513994575 1.9305792364)
576498,,2020,1,17,5790,TARAZA,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,DESCONOCIDA,GRUPO POSDESMOVILIZACIÓN,URABEÑOS/AUTODEFENSAS GAITANISTAS DE COLOMBIA/ÁGUILAS NEGRAS/CLAN ÚSUGA,0,0,0,0,0,0,0,0,0,,,5,ARMA DE FUEGO,POINT (-75.4709699627 7.5708677611)
576612,,2020,3,8,54001,CUCUTA,NORTE DE SANTANDER,AREA METROPOLITANA DE CUCUTA,RETENCIÓN/EJECUCIÓN,GRUPO POSDESMOVILIZACIÓN,LOS RASTROJOS,0,0,0,0,0,0,0,0,8,,,8,ARMA CORTO PUNZANTE - ARMA DE FUEGO,POINT (-72.4863300394 8.3148120694)
576651,,1975,9,1,5659,SAN JUAN DE URABA,ANTIOQUIA,URABA,REUNIÓN PÚBLICA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,,8,ARMA DE FUEGO,POINT (-76.5287943448 8.759341801)
576848,,2018,12,19,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,SICARIATO,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,,4,ARMA DE FUEGO,POINT (-75.581713332 6.246715564)
